                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38139,                0.81539,                 1.5456,                0.93944,                0.93048,                    0.6,                0.76858,                0.74372,                0.93048,                    0.6,                0.76837,                0.76033,                0.28349,                0.26214,                 2.1572,                0.89134,                0.00028,                0.00028,                0.00028
                      2,                0.57439,                 0.8027,                  2.679,                 1.0852,                0.53571,                      1,                 0.6092,                0.38714,                0.53571,                      1,                 0.6092,                0.49025,                0.84998,                0.75902,                 39.185,                 1.6151,             0.00057282,             0.00057282,             0.00057282
                      3,                0.89467,                 1.2171,                 3.1402,                 1.2243,                0.81818,                    0.3,                0.66028,                0.28313,                      1,                0.36667,                0.80744,                0.63639,                 2.0354,                 1.8862,                  16.11,                 2.5696,             0.00085822,             0.00085822,             0.00085822
                      4,                 1.1102,                  1.852,                 3.0574,                 1.3706,                0.92857,                0.43333,                0.65791,                0.39811,                0.85714,                    0.4,                0.57025,                0.36072,                 1.4768,                 6.1246,                 35.676,                 2.0648,              0.0011362,              0.0011362,              0.0011362
                      5,                 1.1798,                 1.9512,                 3.8916,                 1.4534,                0.92857,                0.43333,                0.65791,                0.39811,                0.85714,                    0.4,                0.57025,                0.36072,                 1.4768,                 6.1246,                 35.676,                 2.0648,              0.0014067,              0.0014067,              0.0014067
                      6,                  1.785,                  2.815,                 3.4447,                 1.9352,                0.00059,                0.03333,                0.00031,                  8e-05,                0.00059,                0.03333,                0.00038,                0.00019,                 3.6614,                 11.843,                 372.02,                 4.9654,              0.0016699,              0.0016699,              0.0016699
                      7,                  1.999,                 3.8034,                 3.1415,                 2.1038,                0.00059,                0.03333,                0.00031,                  8e-05,                0.00059,                0.03333,                0.00038,                0.00019,                 3.6614,                 11.843,                 372.02,                 4.9654,              0.0018515,              0.0018515,              0.0018515
                      8,                 2.1291,                 3.6168,                 4.3439,                 2.1741,                 0.0057,                0.43333,                0.00547,                0.00245,                0.00394,                    0.3,                0.00462,                0.00121,                 2.4089,                 20.422,                 2084.6,                  4.434,              0.0018515,              0.0018515,              0.0018515
                      9,                 2.8002,                 5.7873,                 7.4508,                 2.8743,                 0.0057,                0.43333,                0.00547,                0.00245,                0.00394,                    0.3,                0.00462,                0.00121,                 2.4089,                 20.422,                 2084.6,                  4.434,              0.0018267,              0.0018267,              0.0018267
                     10,                 2.8255,                 4.7754,                 5.5277,                 2.8316,                0.00427,                0.03333,                0.00072,                  8e-05,                      0,                      0,                      0,                      0,                 4.6364,                 8.9066,                 324.23,                 6.0751,               0.001802,               0.001802,               0.001802
                     11,                 2.3687,                 3.7863,                 3.2212,                 2.4806,                0.00427,                0.03333,                0.00072,                  8e-05,                      0,                      0,                      0,                      0,                 4.6364,                 8.9066,                 324.23,                 6.0751,              0.0017772,              0.0017772,              0.0017772
                     12,                 2.6781,                 4.2883,                 3.6914,                 2.7266,                0.00067,                    0.2,                 0.0004,                0.00012,                0.00033,                    0.1,                0.00018,                  2e-05,                  2.648,                 16.318,                 4083.7,                 3.9537,              0.0017525,              0.0017525,              0.0017525
                     13,                 2.4426,                 5.1665,                 3.8469,                 2.6067,                0.00067,                    0.2,                 0.0004,                0.00012,                0.00033,                    0.1,                0.00018,                  2e-05,                  2.648,                 16.318,                 4083.7,                 3.9537,              0.0017278,              0.0017278,              0.0017278
                     14,                 2.5792,                 3.9425,                 3.5969,                 2.7196,                0.02872,                0.36667,                0.02145,                0.00487,                0.03133,                    0.4,                0.02082,                0.00308,                 3.6132,                 371.36,                 305.39,                 25.691,               0.001703,               0.001703,               0.001703
                     15,                 2.2752,                 3.9092,                 2.9333,                 2.5246,                0.02872,                0.36667,                0.02145,                0.00487,                0.03133,                    0.4,                0.02082,                0.00308,                 3.6132,                 371.36,                 305.39,                 25.691,              0.0016783,              0.0016783,              0.0016783
                     16,                  2.378,                 3.2873,                 2.8118,                 2.5322,                0.00124,                0.36667,                 0.0009,                0.00024,                 0.0017,                    0.5,                0.00134,                0.00024,                 3.9066,             6.2118e+05,                  22578,                  657.6,              0.0016535,              0.0016535,              0.0016535
                     17,                 2.2111,                 2.7935,                 2.7361,                  2.387,                0.00124,                0.36667,                 0.0009,                0.00024,                 0.0017,                    0.5,                0.00134,                0.00024,                 3.9066,             6.2118e+05,                  22578,                  657.6,              0.0016287,              0.0016287,              0.0016287
                     18,                 2.2045,                 2.6497,                  2.556,                 2.3657,                0.00124,                0.36667,                 0.0009,                0.00024,                 0.0017,                    0.5,                0.00134,                0.00024,                 3.9066,             6.2118e+05,                  22578,                  657.6,               0.001604,               0.001604,               0.001604
                     19,                    2.5,                 2.9629,                 2.9418,                 2.7763,                0.00373,                0.03333,                0.00036,                  7e-05,                0.00074,                0.06667,                0.00041,                  4e-05,                 5.4774,                 5506.1,                 92.256,                 166.64,              0.0015793,              0.0015793,              0.0015793
                     20,                 2.5077,                 3.4877,                 2.9285,                 2.7803,                0.00373,                0.03333,                0.00036,                  7e-05,                0.00074,                0.06667,                0.00041,                  4e-05,                 5.4774,                 5506.1,                 92.256,                 166.64,              0.0015545,              0.0015545,              0.0015545
                     21,                 2.7864,                 3.2961,                 2.9745,                 2.8527,                0.01308,                0.23333,                0.00685,                0.00117,                0.00935,                0.16667,                0.00481,                0.00086,                 4.0723,                 608.65,                 463.67,                 57.962,              0.0015298,              0.0015298,              0.0015298
                     22,                 2.8338,                  3.398,                 2.9062,                 2.9539,                0.01308,                0.23333,                0.00685,                0.00117,                0.00935,                0.16667,                0.00481,                0.00086,                 4.0723,                 608.65,                 463.67,                 57.962,               0.001505,               0.001505,               0.001505
                     23,                 2.9484,                 3.5406,                  2.913,                 2.9797,                0.03088,                0.43333,                0.01989,                0.00536,                0.02138,                    0.3,                 0.0103,                 0.0031,                 3.2546,                  136.8,                 357.24,                 23.277,              0.0014803,              0.0014803,              0.0014803
                     24,                 2.5217,                 3.8231,                 2.6653,                 2.7305,                0.03088,                0.43333,                0.01989,                0.00536,                0.02138,                    0.3,                 0.0103,                 0.0031,                 3.2546,                  136.8,                 357.24,                 23.277,              0.0014555,              0.0014555,              0.0014555
                     25,                 2.4855,                 3.4708,                 2.8127,                 2.6468,                0.05247,                0.23333,                0.02024,                0.00568,                0.02337,                0.18906,                0.00786,                0.00142,                 3.2619,                 64.106,                 7.8192,                 8.6181,              0.0014307,              0.0014307,              0.0014307
                     26,                 2.4645,                 3.2111,                 2.6534,                 2.7048,                0.05247,                0.23333,                0.02024,                0.00568,                0.02337,                0.18906,                0.00786,                0.00142,                 3.2619,                 64.106,                 7.8192,                 8.6181,               0.001406,               0.001406,               0.001406
                     27,                 2.5381,                 3.0586,                 2.6915,                 2.6574,                0.01879,                0.33333,                0.00884,                0.00325,                0.01891,                0.13333,                0.00615,                0.00096,                 3.3093,                 52.744,                 15.813,                 9.5792,              0.0013813,              0.0013813,              0.0013813
                     28,                 2.3561,                 2.6389,                 2.6995,                 2.5844,                0.01879,                0.33333,                0.00884,                0.00325,                0.01891,                0.13333,                0.00615,                0.00096,                 3.3093,                 52.744,                 15.813,                 9.5792,              0.0013565,              0.0013565,              0.0013565
                     29,                 2.4765,                 3.6345,                 2.5074,                 2.7004,                0.01894,                0.16667,                0.00489,                0.00136,                0.00758,                0.06667,                0.00108,                0.00057,                 4.0449,                  499.3,                 19.435,                 40.463,              0.0013318,              0.0013318,              0.0013318
                     30,                  2.483,                  2.855,                 2.5871,                 2.6467,                0.01894,                0.16667,                0.00489,                0.00136,                0.00758,                0.06667,                0.00108,                0.00057,                 4.0449,                  499.3,                 19.435,                 40.463,               0.001307,               0.001307,               0.001307
                     31,                 2.3242,                 2.8785,                 2.4516,                 2.5404,                0.03564,                    0.3,                0.01578,                0.00394,                 0.0298,                    0.2,                0.00806,                0.00203,                 3.4382,                 53.217,                 13.032,                 8.3319,              0.0012822,              0.0012822,              0.0012822
                     32,                 2.2834,                 2.8084,                 2.5779,                 2.5942,                0.03564,                    0.3,                0.01578,                0.00394,                 0.0298,                    0.2,                0.00806,                0.00203,                 3.4382,                 53.217,                 13.032,                 8.3319,              0.0012575,              0.0012575,              0.0012575
                     33,                 2.3867,                 2.5517,                 2.4377,                 2.5725,                0.27373,                0.63333,                0.38385,                0.13153,                0.35106,                0.46667,                 0.3927,                0.10676,                 2.1448,                 2.5925,                 4.5521,                 2.7381,              0.0012328,              0.0012328,              0.0012328
                     34,                 2.1813,                 2.6898,                 2.4118,                 2.4015,                0.27373,                0.63333,                0.38385,                0.13153,                0.35106,                0.46667,                 0.3927,                0.10676,                 2.1448,                 2.5925,                 4.5521,                 2.7381,               0.001208,               0.001208,               0.001208
                     35,                 2.5194,                 2.9228,                 2.6447,                 2.5065,                0.27373,                0.63333,                0.38385,                0.13153,                0.35106,                0.46667,                 0.3927,                0.10676,                 2.1448,                 2.5925,                 4.5521,                 2.7381,              0.0011833,              0.0011833,              0.0011833
                     36,                 2.0196,                 2.4883,                 2.1904,                 2.4534,                0.24898,                    0.4,                0.20359,                0.05846,                0.23734,                0.53333,                0.18089,                0.05231,                  2.224,                 3.5846,                 6.1375,                 2.8399,              0.0011585,              0.0011585,              0.0011585
                     37,                 2.1554,                 2.6712,                 2.5354,                 2.5009,                0.24898,                    0.4,                0.20359,                0.05846,                0.23734,                0.53333,                0.18089,                0.05231,                  2.224,                 3.5846,                 6.1375,                 2.8399,              0.0011337,              0.0011337,              0.0011337
                     38,                  2.076,                 2.6054,                 2.2256,                 2.4541,                0.23652,                0.43333,                0.19696,                0.05784,                0.22671,                 0.4594,                0.23232,                0.06385,                  2.264,                 3.9307,                 5.4218,                 2.9797,               0.001109,               0.001109,               0.001109
                     39,                 2.1343,                 2.5256,                 2.5148,                 2.5265,                0.23652,                0.43333,                0.19696,                0.05784,                0.22671,                 0.4594,                0.23232,                0.06385,                  2.264,                 3.9307,                 5.4218,                 2.9797,              0.0010842,              0.0010842,              0.0010842
                     40,                 2.2943,                 2.5198,                 2.3584,                 2.5609,                 0.3163,                    0.6,                0.35119,                0.11113,                0.33162,                0.63333,                 0.3759,                0.12027,                  2.185,                 3.5099,                 3.4277,                 3.0161,              0.0010595,              0.0010595,              0.0010595
                     41,                 2.0317,                 2.6943,                 2.3806,                 2.4955,                 0.3163,                    0.6,                0.35119,                0.11113,                0.33162,                0.63333,                 0.3759,                0.12027,                  2.185,                 3.5099,                 3.4277,                 3.0161,              0.0010347,              0.0010347,              0.0010347
                     42,                 1.8564,                 2.3205,                 2.1659,                 2.2029,                0.24793,                    0.5,                  0.264,                0.09941,                 0.3407,                    0.3,                0.28836,                0.12144,                 2.0108,                 2.8648,                 3.1022,                 2.7203,                0.00101,                0.00101,                0.00101
                     43,                 1.9025,                 2.0175,                  2.102,                 2.3144,                0.24793,                    0.5,                  0.264,                0.09941,                 0.3407,                    0.3,                0.28836,                0.12144,                 2.0108,                 2.8648,                 3.1022,                 2.7203,             0.00098525,             0.00098525,             0.00098525
                     44,                 1.9318,                 2.0216,                 2.0586,                 2.2627,                0.51294,                0.56667,                0.42182,                0.13403,                0.56617,                    0.7,                 0.5575,                0.22224,                 2.0249,                 2.2146,                 2.5449,                 2.6109,              0.0009605,              0.0009605,              0.0009605
                     45,                 1.8806,                 2.0399,                 2.0059,                 2.2345,                0.51294,                0.56667,                0.42182,                0.13403,                0.56617,                    0.7,                 0.5575,                0.22224,                 2.0249,                 2.2146,                 2.5449,                 2.6109,             0.00093575,             0.00093575,             0.00093575
                     46,                 1.8751,                 1.7105,                 1.9301,                 2.1872,                0.40591,                0.36667,                0.28058,                0.06962,                0.33129,                0.36667,                0.31346,                  0.118,                 2.1237,                 2.2571,                 2.7112,                 2.5803,               0.000911,               0.000911,               0.000911
                     47,                 1.9784,                 1.8106,                 2.0443,                  2.284,                0.40591,                0.36667,                0.28058,                0.06962,                0.33129,                0.36667,                0.31346,                  0.118,                 2.1237,                 2.2571,                 2.7112,                 2.5803,             0.00088625,             0.00088625,             0.00088625
                     48,                 2.4497,                 2.0677,                 2.1922,                 2.6747,                0.27373,                0.46667,                0.30311,                0.10271,                0.27831,                0.46667,                0.31769,                0.13498,                 1.9754,                 2.1522,                 2.3555,                 2.4637,              0.0008615,              0.0008615,              0.0008615
                     49,                 1.9234,                 1.7135,                 1.9336,                 2.1658,                0.27373,                0.46667,                0.30311,                0.10271,                0.27831,                0.46667,                0.31769,                0.13498,                 1.9754,                 2.1522,                 2.3555,                 2.4637,             0.00083675,             0.00083675,             0.00083675
                     50,                 1.9254,                 1.8406,                  2.097,                  2.151,                0.27373,                0.46667,                0.30311,                0.10271,                0.27831,                0.46667,                0.31769,                0.13498,                 1.9754,                 2.1522,                 2.3555,                 2.4637,               0.000812,               0.000812,               0.000812
                     51,                 2.1123,                 1.5853,                 2.2804,                 2.3036,                0.30761,                0.36667,                0.26425,                0.08125,                0.37076,                0.36667,                 0.2495,                 0.1148,                 2.1865,                 2.0972,                 2.4362,                 2.5716,             0.00078725,             0.00078725,             0.00078725
